Kategorie;Name;Sprache;Beschreibung;Nutzen;;;Link;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;Kronentransparenz;Deutsch;Die App unterstützt bei der Abschätzung der Kronentransparenz;(1)Primärproduktion,(2)Klimaregulation, Nährstoffkreislauf, Krankeitsregulation, Ästhetik;Primärproduktion#da die produzierte Biomasse u.a. von der Photosyntheseleistung abhängt, die wiederum maßgeblich von der Blattfläche bestimmt wird.Klimaregulation#da die Senkenleistung des Waldes im Hinblick auf den Kohlenstoffhaushalt bei vitaler Krone und damit höherer Photosyntheseleistung größer ist.Nährstoffkreislauf#weil Laub- und Nadelfall die Humusbildung und damit den Nährstoffhaushalt beeinflussen.Krankheitsregulation#weil ein Baum mit einer vitalen Krone Krankheitserreger besser abwehren kann als ein geschwächter Baum mit einer stark durchscheinenden Krone. Folglich wird die Ausbreitung und Ausprägung von Krankheitserregern beeinflusst.Ästhetik#da die Transparenz der Kronen auf die Vitalität des Waldes schließen lässt und flächig geschwächte Bäume ein anderes Landschaftsbild erzeugen (z.B. flächiger Borkenkäferbefall). ;;https://www.inforst.de/de/apps/kronentransparenz/kronentransparenz-information.html;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;Treeva;Deutsch;Mit treeva verorten Förster und Waldbesitzer Bäume auf Knopfdruck - manuell oder per Sprache. In Karten und Auswertungen können fotooptisch vermessene Holzpolter, Einzelstämme oder Sicherheitshinweise für jedes Objekt übersichtlich zusammengefasst werden. Damit gewinnen Sie eine hocheffiziente Arbeitsplanung und eine verbesserte Kommunikation unter allen Beteiligten der Holzprozesskette.;(1)Holz,(2)Alle weiteren Leistungen;Holz#weil die App primär auf die Verwaltung von Waldbeständen ausgelegt ist und zum Beispiel die Ortung einzelner Bäume oder Vermessung von Poltern ermöglicht.Alle weiteren Leistungen#weil die Ortung und Kommunikation bestimmter Orte oder die Möglichkeit Sprachnotizen auf Karten zu hinterlassen auch für andere Maßnahmen, die ÖSL fördern, genutzt werden könnten. ;;https://treeva.de/;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;MeasureHeight;Englisch;Software uses devices accelerometer and trigonometrical equations to estimate distance to a tree and tree height;(1)Holz,(2)Klimaregulation, Primärproduktion;Holz#da die Anwendung die Höhe des Baumes misst und somit Annahmen über das Gesamtvolumen des Baumes zulässt. Durch die Messung der Oberhöhe kann die App auch wichtige Informationen über die Gesamtleistung bzw. den dGZ (durchschnittlicher Gesamtzuwachs) liefern. Die daraus resultierende Bonitierung dient der Ermittlung der Ertragsfähigkeit und des Leistungspotenzials des Bestandes.Klimaregulation#da die Gesamtwuchsleistung über die Höhenbonitierung Aussagen zum Holzvorrat zulassen. Dieser bindet wiederrum Kohlenstoff.Klimaregulation#weil die Ertragsfähigkeit auf das Wachstum und somit die Primärproduktion zurückgeführt werden kann.;;https://play.google.com/store/apps/details?id=ee.deskis.android.height;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;MOTI;Deutsch;MOTI nutzt die Vorteile von Smartphones für eine einfache und bequeme Erfassung wesentlicher Merkmale des Waldzustandes;(1)Holz,(2)Klimaregulation, Bildung;"Holz#weil die App ein Messinstrument zur Erfassung dendrometrischer Größen (Grundfläche pro ha (G) wahlweise mit oder ohne Unterscheidung der Baumarten, Stammzahl pro ha (N), Baumhöhen (h), Vorrat an Derbholz pro ha (V)) ist und damit eine Abschätzung des Holzvorrates ermöglicht. Darüber hinaus kann es mit der eigenständigen Windows-Anwendung ""SiWaWa"", einem Standwachstums-Simulationsmodell, kombiniert werden. Damit können Zukunftsszenarien erstellt werden.Klimaregulation#weil aus der ermittelten Biomasse über den Faktor 0,5 auf den gebundenen Kohlenstoff geschlossen werden kann. Um das CO2-Äquivalent zu erhalten, kann das Ergebnis mit dem Faktor 3,67 multipliziert werden.Bildung#da die Anwendung einen intuitiven Zugang zu wichtigen forstlichen Kenngrößen ermöglicht und kostenlos ist. Dabei werden die entsprechenden Parameter näher gebracht. Der Bildungscharakter wird durch die Möglichkeit der Erstellung von Zukunftsszenarien unterstrichen.  ";;http://www.moti.ch/;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;MW-ForstApp2.0;Deutsch;Schnelles, effizientes und ressourcensparendes zur Kartographierung von Borkenkäferbefall oder von Einzelwürfe durch Sturm;(1)Holz, Krankheitsregulation;"Holz#da die Bereitstellung der Ressource erleichtert und die Rückverfolgbarkeit digitalisiert wird. Die App ermöglicht über Drohnenflug ""Pins"" Koordinaten für die zu entnehmende Bäume zu setzen. Die Pins werden in weiterer Folge durch Förster & Försterinnen, Havester, Forstwirt & Forstwirtin und Rückezug geupdatet. Dadurch wird die Holzentnahme digitalisiert, klar strukturiert und erleichtert.Krankheitsregulation#da das mit der App kombinierte Drohnenmonitoring Schad-,Sturm- und Käferholz kartiert und die Standorte digital mit den ""Pins"" hinterlegt werden. Dadurch wird die Entnahme entsprechender Bäume beschleunigt. ";;https://www.forstunternehmen-widiner.de/app-aus-der-praxis;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;Schadensmeldungmobile;Deutsch;Mit dieser App können im Waldschutz-Meldeportal registrierte Nutzer:innen Schäden direkt im Wald – auch ohne Netzverbindung – erfassen.;(1)Krankheitsregulation;Krankheitsregulation#weil über die App Schäden direkt im Wald erfasst werden. Steht eine Netzverbindung zur Verfügung, können die auf dem Endgerät gespeicherten Meldungen direkt in das Portal übertragen werden.Somit kann der Ausbreitung von Schäden effektiver vorgebeugt und deren Auftreten effezienter kommuniziert werden. ;;https://www.nw-fva.de/veroeffentlichen/software;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;TRESTIMAforestinventorysystem;Englisch;Tool for forest inventory;(1)Holz,(2)Klimaregulation;Holz#da basierend auf Bildern zeitunaufwändige Inventuren aufgestellt werden können und somit Rückschlüsse über das vorhandene Holzvolumen zulassen.Klimaregulation#da die ausgegebene Biomasse bzw. der ausgegebene Holzvorrat Aufschlüsse über den gebundenen Kohlenstoff im Wald zulässt.;;https://www.trestima.com/w/en/forest-inventory-system/;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;TRESTIMA®Stumptreatmentcoveragemeasurement;Englisch;Measure the coverage of stump treatment;(1)Krankheitsregulation;Krankheitsregulation#da die Behandlung des Stumpfes mit einer zugelassenen Stumpfbehandlungslösung als Präventionsmethode gilt. Flüssigkeit als präventives Mittel wird beim Einschlag des Holzes bspw. automatisch über den Harvesterkopf versprüht. Um die Ausbreitung des Pilzes erfolgreich zu verhindern, muss der Stubbenkopf zu mindestens 85 % bedeckt sein. TRESTIMA hat zusammen mit dem Finnish Forest Center eine Anwendung entwickelt, mit der sich die Abdeckung mit dem Behandlungsmittel des Stubbenkopfes einfach messen lässt.;;https://www.trestima.com/w/en/stump-treatment-coverage-measurement/;;;;;;;;;;;;;;
Erfassung, Vermessung und Berechnung;Waldkatmobil;Deutsch;Eine Online- oder Offline-App zur mobilen Nutzung von Forstkarten und beschreibenden Daten zu Forstflächen sowie Erfassung von Waldschäden;(1)Krankheitsregulation,(2)Holz;Krankheitsregulation#da die Waldschäden automatisch auf das Waldschutz Meldeportal der NW-FVA hochgeladen werden können.Holz#da georeferenzierte Daten die Aufnahme von Poltern und Holzvorräten erleichtern.;;https://play.google.com/store/apps/details?id=io.cordova.arc.waldkat.mobil&hl=en\nhttps://apps.apple.com/de/app/waldkat-mobil/id1462879787;;;;;;;;;;;;;;
Fernerkundung;EBEurope;Deutsch;Gesundheitskartierung und -monitoring (Basis: Drohnen- und Satellitenaufnahmen), Früherkennung und Schadenaufnahme, Georeferenzierung, Baumhöhenkartierung, Bestanderfassung und -auswertung, Digitalisierung (GIS);(1)Krankheitsregulation, Holz,(2)Klimaregulation;Krankheitsregulation#weil Gesundheitsmonitoring und Risikokartierung auf Basis von Drohnen- und Satellitenaufnahmen vorgenommen werden können.Holz# da über die Aufnahmen eine Bestandsaufnahme vorgenommen werden kann.Klimaregulation#da die Bestandsaufnahme Rückschlüsse über die vorhandene Biomasse zulässt und somit über den gebundenen Kohlenstoff.;;https://eb-europe.de/forstwirtschaft;;;;;;;;;;;;;;
Fernerkundung;Skylab-ChangeMonitor;Deutsch;The Change Monitor analyses drone, plane or satellite data for immediate and up-to-date information on the state of your forests;(1)Holz, Klimaregulation, Krankheitsregulation,(2)Primärproduktoin;"Holz#da Skylab ein auf high resolution satellite date basierendes ""Harvest Monitoring"" erlaubt und somit Aufschlüsse über stehende und geerntete Holzmengen erlaubt. Außerdem kann der Ernteprozess transparent zurückverfolgt und strukturiert werden.Klimaregulation#da Skylab Informationen bzgl. der ""Carbon Transparency"" ermöglicht und somit den gebundenen Kohlenstoff kartiert.Krankheitsregulation#da ein ""Forest Health Monitoring"" und ein ""Damage assessment"" (eg. fire, storm, pest, insects, droughts,illegal logging) vorgenommen werden kann. Dafür können positive und negative Veränderungen in monatlichen oder jährlichen Zeitreihen festgehalten werden. Somit kann der ""Forest Change"" geografisch und zeitlich gezielt analysiert werden. Primärproduktion#über die Ausgabe von ""Forest Health"" und ""Forest Change"" können indirekt Information zu der Primärproduktion gewonnen werden.";;https://www.skylabglobal2.com/changemonitor;;;;;;;;;;;;;;
Fernerkundung;Skylab-DigitalForester;Deutsch;The Digital Forester is a combination of the most advanced data analytics and modelling tools. We use Photogrammetry or Laserscanning data to generate 3D forestry models to extract tree heights and structural information.;(1)Holz,(2)Klimaregulation;Holz#da ein 3D Modelll (anstelle einer zweidimensionalen Zählungsmethode) für die Bestandesaufnahme erzeugt wird. Klimaregulation#weil man aus der festgestellten Biomasse über den Faktor 0,5 auf den gebundenen Kohlenstoff schließen kann. Zur Erhaltung des CO2 Äquivalentes kann das vorrangegange Ergebnis mit 3,67 multipliziert werden.;;https://www.skylabglobal2.com/digitalforester;;;;;;;;;;;;;;
Fernerkundung;Skylab-SeedlingCounter;Deutsch;Automatically counts all seedlings and differentiates them from weeds and other features. You will get colour-coded digital grid maps showing seedling and weed density. If seedlings are large enough, we can also assess their relative vitality.;(1)Krankheitsregulation,(2)Holz;Krankheitsregulation#da über eine high resolution Drone Daten ausgegeben werden, um alle Sämlinge/Setzlinge zu erfassen inkl. Überlebensrate und Zustand der jeweiligen Jungpflanze (Mortalität ja/nein). Dadurch muss sich nicht auf extrapolierte Spot Samples verlassen werden. Neben der Mortalität wird auch der Unkrautszustand und somit der Konkurrenzbewuchs festgehalten.Holz#da auch eine Volumen-Inventur durchgeführt werden kann.;;https://www.skylabglobal2.com/seedlingcounter;;;;;;;;;;;;;;
Fernerkundung;Skylab-TreeCounter;Deutsch;Zählt jeden Baum im Gebiet anhand von Dronenaufnahmen inkl. Gesundheitszustand und Höhe;(1)Holz,(2)Krankheitsregulation;Holz#da der Tree counter als Entscheidungshilfe fü Durchforstungs- und erntemaßnahmen dient und somit das Wachstumverhalten des Bestandes als Entscheidungssupport beeinflusst. Dafür werden Bäume in einem bestimmten gebiet gezählt, sowie Gesundheutszustand und Höhe ausgegeben.Krankheitsregulation#da Informationen zu dem Gesundheitszustand ausgegeben werden.;;https://www.skylabglobal2.com/treecounterFernerkundung;Waldclick;Deutsch;Durch Satellitenbilder und Fernerkundungsmethodik werden Routineaufgaben, wie die Inventur & Aufnahme von Beständen und Verfassungen des Waldes automatisiert.;(1)Krankheitsregulation;Klimaregulation#Durch die Vorteile der satellitengestützten Forstüberwachung mit hoher zeitlicher Häufigkeit können Reaktionszeiten auf Veränderungen reuziert werden, sowie Zeitreihen aktualisiert und analysiert werden. Dies dient insbsondere dem Monitoring und erlaubt Krankheitsregulierende Maßnahmen effektiver einzuleiten.;;https://supervision.earth/de/waldclick/Fernerkundung;WaldCursor;Deutsch;Mit dem WaldCursor können Sie ganz einfach die zahlreichen Möglichkeiten der Fernerkundung für Ihren Forst nutzen;(1)Krankheitsregulation, Gewässermonitoring,(2)Frischwasser;Klimaregulation#Durch Umweltmonitoring, flächenbezogenes Projektmanagement, Satelitten Zeitreihen und georeferenzierte Kalamitäten-Kontrollen können Krankheits regulierende Maßnahmen effektiver eingeleitet werden.Wasserregulation#da ein Gewässermonitoring durchgeführt werden kann.Frischwasser#da ein Gewässerminitoring durchgeführt werden kann.;;https://waldcursor.com/
Forstmaschinen;forstwarenext;Deutsch;"Instrument zur Kalkulation der Maschinenwirtschaftlichkeit für Maschinenbesitzer und Einsatzleiter; Vor-und Nachkalkulation; Angebots- und Rechnungserstellung, Abrechnung sowie Import verschiedener Daten";(1)Holz;Holz#da die App bei der Maschinenbuchführung (z.B. Harvester) hilft und Kosten/Umsätze der Maschinen darlegt. Somit entsteht eine solide Datenbasis im Zuge der Holzernte und schafft detailierte Übersichten für Fahrer, Maschinen und den gesamten Betrieb. U.a. kann der Handel von zertifizierten Holz genau nachvollzogen werden.;;https://wahlersforsttechnik.de/Produkte/forstware/;;;;;;;;;;;;;;
Forstmaschinen;JohnDeere-TimberMaticKarten;Englisch;TimberMatic Karten bietet den Fahrern eine Echtzeit-Produktionsansicht der Holzeinschlagfläche. Die von den Sensoren des Harvester erfassten Daten und die präzise Lokalisierung der gefällten Stämme mit GPS-Unterstützung werden vom Harvester automatisch auf die TimberMatic-Anwendung zur Nutzung durch den Forwarder übertragen.;(1)Holz;Holz#weil TimberMatic-Karten den Fahrern eine Echtzeit-Produktionsansicht der Holzeinschlagfläche bieten. Die von den Sensoren des Harvester erfassten Daten und die präzise Lokalisierung der gefällten Stämme mit GPS-Unterstützung werden vom Harvester automatisch auf die TimberMatic-Anwendung zur Nutzung durch den Rückezug übertragen.;;https://www.deere.de/de/forstmaschinen/timbermatic-karten/;;;;;;;;;;;;;;
Forstmaschinen;MaxiFleet;Englisch;Ein einzigartiges webbasiertes Flottenmanagementsystem für Forstmaschinen;(1)Holz;Holz#da MaxiFleet Daten über Maschine und deren Produktion verarbeitet, die dann in MaxiFleet analysiert werden und anschließend als hilfreiche Funktionen den Arbeitsalltag und somit die Holzernte vereinfachen.;;https://www.komatsuforest.de/services/maxifleet;;;;;;;;;;;;;;
Forstmaschinen;OPTIListNext;Deutsch;"Import von Harvesterdaten aller gängiger Maschinentypen; Einfache und schnelle Erstellung von unterschiedlichen Holzlisten; Korrektur von Fehleingaben des Fahrers; Weitere Berichte";(1)Holz;Holz#da die App den Import von Harvesterdaten aller gängiger Maschinentypen ermöglicht, eine Aufarbeitungskontrolle der eingelesenen Daten zur Korrektur von Fehleingaben des Fahrers ermöglicht, eine einfache und schnelle Erstellung von unterschiedlichen Holzlisten erlaubt und Effizienzberichte ausgibt.;;https://wahlersforsttechnik.de/Produkte/optilist-next/;;;;;;;;;;;;;;
Forstmaschinen;QSHarvester;Deutsch;System für das Monitoring der Kontrollvermessung und Justierung;(1)Holz;Holz#weil die App bei der Qualitätssicherung der Harvestervermessung hilft und somit das Harvestermaß als zentrales Logistikmaß bei der Holzernte im Sinne des KVP (kontinuirlicher Verbesserungsprozess) begünstigt.;;https://kwf2020.kwf-online.de/qs-harvester/;;;;;;;;;;;;;;
Forstmaschinen;StanForD-Report;Deutsch;Praxiswerkzeug zum standardisierten Einlesen von Harvesterdaten;(1)Holz;Holz#da Harvester und Forwarder mit PC-gestützten Bordcomputern digitale Berichte zu Standardeinstellungen, Arbeitsauftrag und zur aktuellen Produktion liefern können. Die Kommunikation erfolgt nach StanForD oder StanForD2010.;;https://kwf2020.kwf-online.de/stanford-2/;;;;;;;;;;;;;;
Forstmaschinen;TimeControl;Deutsch;Die Forsttechnik Software TimeControl erfasst Zeiten und Leistungen der Fahrer direkt auf den Forstmaschinen. Diese Daten werden per Mail an eine oder mehrere Zentralen verschickt und dort automatisch eingelesen.;(1)Holz;Holz#da die Forsttechnik Software TimeControl Zeiten und Leistungen der Fahrer direkt auf den Forstmaschinen erfasst. Diese Daten werden per Mail an eine oder mehrere Zentralen verschickt und dort automatisch eingelesen. ;;https://wahlersforsttechnik.de/Produkte/timecontrol/;;;;;;;;;;;;;;
Fotooptische Holzvermessung;AFoRS;Deutsch;AFoRS bietet dem Anwender eine benutzerfreundliche Lösung zur automatisierten Vermessung von Rohholzpoltern im Wald, im Werk oder auf dem Lkw;(1)Holz;Holz#weil die App AFoRS dem Anwendenden eine Lösung zur automatisierten Vermessung von Rohholzpoltern im Wald, im Werk oder auf dem Lkw bietet. Mithilfe eines Smartphones, eines Tablets oder einer Kamera werden Daten zu Raumvolumen, Festmeter, Stammanzahl sowie Stärkeklassenverteilung bereitgestellt.;;http://www.afors.de/index.php?id=afors;;;;;;;;;;;;;;
Fotooptische Holzvermessung;iFOVEAPro;Deutsch;Mit iFOVEA Pro können Sie mit Ihrem Smartphone Bilder vom Holzpolter aufnehmen. Anschließend berechnet die App mithilfe neuester Bildverarbeitungstechnologien die Festmeter, Raummeter, Stammdurchmesser und weitere Polterdaten in wenigen Sekunden direkt auf dem Gerät;(1)Holz;Holz#da FOVEA eine Komplettlösung für die digitale Holzinventur darstellt. Mit der App „iFOVEA Pro“ kann unter der Nutzung von Bildverarbeitungstechnologien Holzpolter beliebiger Größe in wenigen Minuten berechnt werden.;;http://www.fovea.eu/;;;;;;;;;;;;;;
Fotooptische Holzvermessung;LogStackPro;Deutsch;Das einzige handgeführte Holzpoltervermessungssystem, dass konformitätsbewertet ist und geeichte Poltervorder- und Rückseitenmaße liefert;(1)Holz;Holz#da das Handmessgerät LogStackPro speziell für die digitale fotooptische Vermessung von Rundholzpoltern im Wald entwickelt wurde, um eine präzise Echtzeitdokumentation, Volumenermittlung und Positionsbestimmung vorzunehmen.;;https://www.hdsilva.de/fotovermessung;;;;;;;;;;;;;;
Fotooptische Holzvermessung;Polterscanner;Deutsch;Mit dem handlichen System wird eine 3D-Aufnahme des Holzpolters, Langholzabschnitts oder Hackschnitzelhaufens erzeugt. Mit der speziell entwickelten Software werden Messergebnisse direkt vor Ort ermittelt (z.B. Raummaß und Stammzahl im Polter).;(1)Holz;Holz#da 3D-Aufnahmen des Holzpolters, Langholzabschnitts oder Hackschnitzelhaufens vor Ort erzeugt werden können.;;https://www.vins3d.de/entwicklung/;;;;;;;;;;;;;;
Fotooptische Holzvermessung;sScale™;Deutsch;Holzpoltervermessung mit 3D-Stereokameratechnologie;(1)Holz;Holz#da die Fotovermessung von Holzpoltern automatisiert wird. Durch die fotooptische Holzvermessung wird der Holz- und Informationsfluss vereinfacht und beschleunigt, Logistikkosten minimiert, die Dokumentation erleichtert und der Holzverkaufsprozess transparenter gestaltet.;;https://www.dralle.dk/sscale;;;;;;;;;;;;;;
Fotooptische Holzvermessung;Timbeter;Deutsch;Timbeter ist eine App für digitale Nutzholzvermessung, die mithilfe von Technologien maschinellen Lernens und künstlicher Intelligenz Stämme exakt erfasst;(1)Holz;Holz# da die App eine Lösung für eine erlechterte Rundholzvermessung anbietet und über die Cloud entsprechende Daten zur Verfügung stellt und managed. Timbeter ist eine globale Lösung, um effizient, transparent und gesteuert das Management der Holzlieferkette zu unterstützen. ;;http://www.timbeter.com/;;;;;;;;;;;;;;
Fotooptische Holzvermessung;TRESTIMA® Stack;Englisch;An easy to use tool for measuring log piles;(1)Holz;Holz#da die App eine schnelle und genaue Messung des Holzvolumens und der DBH-Verteilung der Pfähle sowie der Stammzahl ermöglicht;;https://www.trestima.com/w/en/stack-measuring-system/;;;;;;;;;;;;;;
